[2025-12-01T02:47:06.793+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: carga_fato_recebimentos.load_fato_recebimentos scheduled__2025-11-30T00:00:00+00:00 [queued]>
[2025-12-01T02:47:06.801+0000] {taskinstance.py:1979} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: carga_fato_recebimentos.load_fato_recebimentos scheduled__2025-11-30T00:00:00+00:00 [queued]>
[2025-12-01T02:47:06.801+0000] {taskinstance.py:2193} INFO - Starting attempt 1 of 3
[2025-12-01T02:47:06.812+0000] {taskinstance.py:2214} INFO - Executing <Task(_PythonDecoratedOperator): load_fato_recebimentos> on 2025-11-30 00:00:00+00:00
[2025-12-01T02:47:06.816+0000] {standard_task_runner.py:60} INFO - Started process 510 to run task
[2025-12-01T02:47:06.818+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'carga_fato_recebimentos', 'load_fato_recebimentos', 'scheduled__2025-11-30T00:00:00+00:00', '--job-id', '197', '--raw', '--subdir', 'DAGS_FOLDER/carga_fato_recebimentos.py', '--cfg-path', '/tmp/tmpjakrogag']
[2025-12-01T02:47:06.820+0000] {standard_task_runner.py:88} INFO - Job 197: Subtask load_fato_recebimentos
[2025-12-01T02:47:06.989+0000] {task_command.py:423} INFO - Running <TaskInstance: carga_fato_recebimentos.load_fato_recebimentos scheduled__2025-11-30T00:00:00+00:00 [running]> on host 1439f57e621d
[2025-12-01T02:47:07.073+0000] {taskinstance.py:2510} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='etl' AIRFLOW_CTX_DAG_ID='carga_fato_recebimentos' AIRFLOW_CTX_TASK_ID='load_fato_recebimentos' AIRFLOW_CTX_EXECUTION_DATE='2025-11-30T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-11-30T00:00:00+00:00'
[2025-12-01T02:47:07.074+0000] {logging_mixin.py:188} INFO - 
=== Iniciando carga da FatoRecebimentos ===
[2025-12-01T02:47:08.185+0000] {logging_mixin.py:188} INFO - Último RecebimentoID carregado: 987397
[2025-12-01T02:47:09.199+0000] {logging_mixin.py:188} INFO - Encontrados 1333 novos títulos a receber.
